                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3784,                 2.0291,                 1.4709,                0.38058,                0.48518,                0.36135,                 0.1984,                 1.6116,                 3.1473,                 1.8306,             0.00040833,             0.00040833,             0.00040833
                      2,                 1.4401,                 1.6643,                 1.5314,                0.43456,                 0.2642,                0.22786,                0.10439,                 2.0852,                 7.9666,                 2.4422,             0.00078416,             0.00078416,             0.00078416
                      3,                 1.5263,                 1.7411,                 1.6153,                0.31903,                0.27709,                0.10467,                0.05491,                 2.2409,                  6.426,                 2.4475,              0.0011187,              0.0011187,              0.0011187
                      4,                 1.5524,                 1.7763,                 1.6304,                0.34859,                0.46087,                0.29768,                0.15452,                 1.8966,                 4.9442,                 2.1914,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.5315,                  1.635,                 1.5998,                0.38832,                0.31489,                0.25392,                0.13284,                 1.8193,                 3.0578,                 1.9908,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.4515,                 1.5556,                 1.5509,                0.42444,                 0.4404,                0.36528,                0.20319,                 1.6865,                 2.3219,                  1.947,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.4059,                 1.4595,                 1.5042,                0.55338,                0.52205,                0.48844,                0.28112,                 1.5858,                 1.7911,                 1.8201,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.3962,                  1.388,                 1.4865,                0.69779,                0.53752,                0.56553,                0.34483,                  1.484,                 1.6665,                 1.6923,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.3217,                 1.3532,                 1.4615,                0.56282,                0.55076,                0.51296,                0.32528,                 1.4677,                 1.7655,                 1.6534,               0.000755,               0.000755,               0.000755
                     10,                  1.289,                 1.2528,                 1.4063,                0.72355,                0.52839,                0.56619,                0.33634,                 1.5434,                 1.7037,                 1.7828,             0.00069313,             0.00069313,             0.00069313
                     11,                 1.3477,                 1.2724,                 1.4734,                0.70167,                0.55164,                0.61269,                0.38874,                 1.4642,                  1.556,                 1.7097,             0.00063125,             0.00063125,             0.00063125
                     12,                 1.2933,                 1.1677,                 1.4357,                0.75302,                0.53612,                 0.6282,                 0.4256,                 1.3553,                 1.3747,                 1.6053,             0.00056938,             0.00056938,             0.00056938
                     13,                 1.2346,                 1.0691,                 1.3967,                 0.7904,                0.55604,                 0.6353,                0.44211,                 1.3458,                 1.3695,                 1.5614,              0.0005075,              0.0005075,              0.0005075
                     14,                 1.2281,                 1.1021,                 1.3821,                0.80626,                0.56704,                0.65632,                0.44183,                 1.3584,                 1.2717,                 1.5215,             0.00044563,             0.00044563,             0.00044563
                     15,                 1.1829,                0.96466,                 1.3427,                0.82853,                0.59078,                0.67291,                0.46793,                 1.2875,                 1.2391,                 1.4846,             0.00038375,             0.00038375,             0.00038375
                     16,                 1.1445,                 0.9146,                 1.3158,                 0.7735,                0.59209,                0.67575,                0.46694,                  1.315,                 1.2065,                 1.4799,             0.00032188,             0.00032188,             0.00032188
                     17,                  1.144,                 0.9227,                 1.3016,                0.81362,                 0.5854,                0.68368,                0.47955,                 1.2691,                 1.1803,                 1.4697,                0.00026,                0.00026,                0.00026
                     18,                 1.1144,                0.87267,                 1.2987,                0.84012,                0.57457,                0.68813,                0.49567,                 1.2503,                 1.1493,                 1.4521,             0.00019813,             0.00019813,             0.00019813
                     19,                  1.079,                0.82365,                 1.3009,                0.82611,                0.59103,                0.69889,                0.50054,                 1.2559,                 1.1334,                 1.4371,             0.00013625,             0.00013625,             0.00013625
                     20,                 1.0108,                0.80397,                 1.2306,                0.79027,                0.60792,                0.69433,                0.50103,                 1.2364,                 1.1238,                 1.4279,             7.4375e-05,             7.4375e-05,             7.4375e-05
